channelName,readoutName,imageType,imagingRound,imageRegExp,bitNumber,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,V0001T8B1,stack,0,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),0,0,488
bit2,V0002T8B1,stack,0,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),0,0,488
bit3,V0003T8B1,stack,0,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),0,0,488
bit4,V0004T8B1,stack,1,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,0,488
bit5,V0005T8B1,stack,1,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,0,488
bit6,V0006T8B1,stack,1,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,0,488
bit7,V0007T8B1,stack,2,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,0,488
bit8,V0008T8B1,stack,2,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),8,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,0,488
bit9,V0009T8B1,stack,2,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),9,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,0,488
bit10,V0010T8B1,stack,3,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),10,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,0,488
bit11,V0011T8B1,stack,3,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),11,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,0,488
bit12,V0012T8B1,stack,3,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),12,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,0,488
bit13,V0013T8B1,stack,4,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),13,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,0,488
bit14,V0014T8B1,stack,4,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),14,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,0,488
bit15,V0015T8B1,stack,4,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),15,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,0,488
bit16,V0016T8B1,stack,5,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),16,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,0,488
bit17,V0017T8B1,stack,5,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),17,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,0,488
bit18,V0018T8B1,stack,5,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),18,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,0,488
bit19,V0019T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),19,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit20,V0154T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),20,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit21,V0021T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),21,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit22,V0022T8B1,stack,7,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),22,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,0,488
